iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.65,7,wheat,26.000464664233878,-727.48174281630691,627.23195769389838,1.7920913076968525,350.0,240.0,0.23320908157990419,0.051698916425619398,0.14100387297497885,0.0,1683.3347257140026
0.6,8,sprayed pasture,-152.58669919648432,-880.06844201279125,0.0,2.0661154647256832,230.0,0.0,0.37058184005629408,0.0,0.311294845091439,51.652886618142077,785.7433691830256
0.3,9,wheat,10.133903467333697,-869.9345385454576,502.77342225516702,1.4364954921576201,350.0,136.69422676371585,0.1,0.02585380838002635,0.15179944266631962,0.0,1638.3419599452704
0.3,0,wheat,-74.970820364220486,-74.970820364220486,514.92917963577952,1.4712262275307986,350.0,239.9,0.38711202643193543,0.057037451743002232,0.10256410256410253,0.0,109.72542556213018
0.9,1,wheat,19.878909585929851,-55.091910778290639,610.92516798518932,1.7455004799576836,350.0,240.0,0.43739356908271437,0.11174947682525412,0.10677304614929384,0.0,379.8116062866406
0.7,2,sprayed pasture,-207.57499999999999,-262.66691077829063,0.0,2.3155698893618397,230.0,0.0,0.50295584726217712,0.0,0.22814337021272002,57.889247234045996,198.10315706481845
0.15,3,wheat,-76.636689189542466,-339.30359996783307,384.83624331929104,1.0995321237694029,350.0,124.22150553190801,0.1,0.037602496337181948,0.11292922932363647,0.0,358.98234300231405
0.8,4,wheat,40.849225771684395,-298.45437419614865,640.15213299061168,1.8290060942588906,350.0,240.0,0.18609605833996418,0.051037649026930559,0.12392055846174743,0.0,1110.662233671497
0.05,5,sprayed pasture,-177.96961562499996,-476.42398982114861,0.0,0.74184260715846639,230.0,0.0,0.39965340558377477,0.0,0.27708028413339814,18.546065178961658,368.5495042205607
0.45,6,wheat,43.199652389165514,-433.22433743198309,611.67555969567763,1.7476444562733646,350.0,202.90786964207669,0.1,0.044558394602239253,0.12456561647722386,0.0,892.5526104545734
0.6,7,wheat,4.5575850598820624,-428.66675237210103,596.52633775308232,1.7043609650088067,350.0,240.0,0.25216099230574984,0.079369070461072139,0.15850151815185154,0.0,2309.9399094813107
0.65,8,sprayed pasture,-152.58669919648432,-581.25345156858532,0.0,1.964388531256607,230.0,0.0,0.34273332500002857,0.0,0.3452038229144644,49.109713281415175,1069.4460732335872
0.75,9,wheat,82.797560538480738,-498.45589103010457,623.15326377361851,1.780437896496053,350.0,141.78057343716966,0.1,0.025689879708026348,0.1693712955478388,0.0,3030.750570110312
0.35,0,wheat,-48.599111470644431,-48.599111470644431,541.30088852935557,1.5465739672267302,350.0,239.9,0.31577414567559814,0.073938084147698313,0.10256410256410253,0.0,114.66317869822485
0.05,1,wheat,-363.83710096476688,-412.43621243541133,207.01357793182433,0.59146736551949808,350.0,240.0,0.47595098483686521,0.11973345236169683,0.10711925107879261,0.0,159.70689959288023
0.75,2,sprayed pasture,-207.57499999999999,-620.01121243541138,0.0,2.3637591697549625,230.0,0.0,0.39057072528575082,0.0,0.21208027674834573,59.09397924387406,86.40894342428561
0.8,3,wheat,164.42970132271284,-455.58151111269854,663.59475190468561,1.8959850054419589,350.0,121.81204151225188,0.1,0.036937432376692898,0.10513460383285211,0.0,272.7043567889344
0.3,4,wheat,-65.227919490575687,-520.80943060327422,509.9172265521895,1.4569063615776843,350.0,240.0,0.2907957689801452,0.049808644394963075,0.11806010702884762,0.0,589.0603308493537
0.85,5,sprayed pasture,-177.96961562499996,-698.77904622827418,0.0,2.2715446245070834,230.0,0.0,0.46347755115941408,0.0,0.24281845849763883,56.788615612677084,328.30707564320875
0.4,6,wheat,81.113502930633871,-617.66554329764028,586.76748072850569,1.6764785163671592,350.0,126.42276877464583,0.1,0.034374789021404124,0.12184587815500669,0.0,768.2334607529026
0.95,7,wheat,14.485300748206644,-603.18024254943361,610.74255639679029,1.7449787325622581,350.0,240.0,0.2320225525667316,0.066097600429369852,0.1506905309063019,0.0,2723.5778644745965
0.15,8,sprayed pasture,-152.58669919648432,-755.76694174591796,0.0,1.113804698635152,230.0,0.0,0.31567364069959802,0.0,0.36581596228410806,27.845117465878801,973.1860815658155
0.45,9,wheat,31.568191051738847,-724.19875069417913,584.39817540968602,1.6697090725991028,350.0,184.3097650682424,0.1,0.044688409757405345,0.16349137070418873,0.0,2260.7183403948256
0.8,0,wheat,57.991106551233628,57.991106551233628,647.89110655123363,1.8511174472892391,350.0,239.9,0.25978552186098441,0.062421033191164786,0.10256410256410253,0.0,158.22323905325445
0.45,1,wheat,-3.8696685222056431,54.121438029027985,585.92666471346774,1.674076184895622,350.0,240.0,0.37596694411445203,0.099593023206132447,0.11016182794579354,0.0,388.96878887723403
0.35,2,sprayed pasture,-207.57499999999999,-153.453561970972,0.0,1.9570154306982936,230.0,0.0,0.41377782084772002,0.0,0.22879747631520708,48.925385767457342,173.3010048183007
0.15,3,wheat,-91.752591128985472,-245.20615309995748,385.13352223503955,1.1003814921001129,350.0,142.14922846508532,0.1,0.038721947105849745,0.11121015236963538,0.0,314.57982560541103
0.65,4,wheat,42.731836189240653,-202.47431691071682,642.46348470529313,1.8356099563008375,350.0,240.0,0.2262032991370479,0.050868269401369008,0.12091426821366724,0.0,876.5684420109567
0.6,5,sprayed pasture,-177.96961562499996,-380.44393253571678,0.0,2.2137146494710107,230.0,0.0,0.36185458116118818,0.0,0.26209511684299636,55.342866236775265,425.86844679466026
0.95,6,wheat,121.20202886803509,-259.2419036676817,644.19437355643856,1.8405553530183958,350.0,129.31426752644947,0.1,0.040126042705822727,0.12841049265240723,0.0,1547.1817399621793
0.7,7,wheat,-14.834337225193966,-274.07624089287566,568.75763286856943,1.6250218081959127,350.0,240.0,0.27998919950746909,0.079716108005816744,0.19737128631894363,0.0,4099.786999176922
0.2,8,sprayed pasture,-152.58669919648432,-426.66294008935995,0.0,1.1424131579754038,230.0,0.0,0.3344131286851969,0.0,0.4259387640287652,28.560328949385095,1453.303546048593
0.75,9,wheat,46.116550361183286,-380.54638972817668,606.05124777795891,1.7315749936513112,350.0,182.87934210122981,0.1,0.025868596468718225,0.19201912625384043,0.0,4014.209595553124
0.9,0,wheat,40.583548738679696,40.583548738679696,630.4835487386797,1.8013815678247993,350.0,239.9,0.32296149211402581,0.087611933179647161,0.10256410256410253,0.0,173.8420674556213
0.2,1,wheat,-172.20456711602154,-131.62101837734184,408.73203461471417,1.1678058131848976,350.0,240.0,0.36180171386676702,0.099624836587748108,0.1112477253763533,0.0,339.36467510346085
0.8,2,sprayed pasture,-207.57499999999999,-339.19601837734183,0.0,2.3242773478090042,230.0,0.0,0.34737531433556956,0.0,0.22524088406366516,58.106933695225102,186.42492223253277
0.1,3,wheat,-130.13904714344892,-469.33506552079075,321.99835346571081,0.91999529561631666,350.0,123.7861326095498,0.1,0.033633624174423705,0.11212062131666622,0.0,305.9927454877163
0.25,4,wheat,-95.050954313453502,-564.38601983424428,473.3023634705645,1.3522924670587557,350.0,240.0,0.2325904504791329,0.04306124458911114,0.12033049403965379,0.0,627.4568229283904
0.75,5,sprayed pasture,-177.96961562499996,-742.35563545924424,0.0,2.2636472711983999,230.0,0.0,0.26795483602506448,0.0,0.2454509096005334,56.591181779959996,330.42046982313167
0.4,6,wheat,80.739715969885495,-661.6159194893587,586.65385827792113,1.6761538807940604,350.0,126.81763644008001,0.1,0.034404258119283049,0.1219891298398521,0.0,773.0634232594806
0.6,7,wheat,10.044125644008098,-651.57179384535061,604.38291453169029,1.7268083272334007,350.0,240.0,0.25913247066991846,0.075489011465106323,0.15099670447501956,0.0,2017.16418334417
0.65,8,sprayed pasture,-152.58669919648432,-804.15849304183496,0.0,2.010643405204295,230.0,0.0,0.34811269762320374,0.0,0.3297855315985684,50.266085130107371,946.3887294658748
